"ICD10","ICD10Descr"
"E1365","Other specified diabetes mellitus with hyperglycemia"
"E10628","Type 1 diabetes mellitus with other skin complications"
"K269","Duodenal ulcer, unsp as acute or chronic, w/o hemor or perf"
"K286","Chronic or unsp gastrojejunal ulcer w both hemor and perf"
"K257","Chronic gastric ulcer without hemorrhage or perforation"
"K251","Acute gastric ulcer with perforation"
"K265","Chronic or unspecified duodenal ulcer with perforation"
"K252","Acute gastric ulcer with both hemorrhage and perforation"
"K270","Acute peptic ulcer, site unspecified, with hemorrhage"
"K25","Gastric ulcer"
"K282","Acute gastrojejunal ulcer w both hemorrhage and perforation"
"K287","Chronic gastrojejunal ulcer w/o hemorrhage or perforation"
"K271","Acute peptic ulcer, site unspecified, with perforation"
"K260","Acute duodenal ulcer with hemorrhage"
"K264","Chronic or unspecified duodenal ulcer with hemorrhage"
"K277","Chronic peptic ulcer, site unsp, w/o hemorrhage or perf"
"K279","Peptic ulc, site unsp, unsp as ac or chr, w/o hemor or perf"
"K28","Gastrojejunal ulcer"
"K273","Acute peptic ulcer, site unsp, w/o hemorrhage or perforation"
"K256","Chronic or unsp gastric ulcer w both hemorrhage and perf"
"K274","Chronic or unsp peptic ulcer, site unsp, with hemorrhage"
"K284","Chronic or unspecified gastrojejunal ulcer with hemorrhage"
"K259","Gastric ulcer, unsp as acute or chronic, w/o hemor or perf"
"K276","Chr or unsp peptic ulcer, site unsp, w both hemor and perf"
"K275","Chronic or unsp peptic ulcer, site unsp, with perforation"
"K283","Acute gastrojejunal ulcer without hemorrhage or perforation"
"K272","Acute peptic ulcer, site unsp, w both hemorrhage and perf"
"K253","Acute gastric ulcer without hemorrhage or perforation"
"K255","Chronic or unspecified gastric ulcer with perforation"
"K250","Acute gastric ulcer with hemorrhage"
"K280","Acute gastrojejunal ulcer with hemorrhage"
"K289","Gastrojejunal ulcer, unsp as acute or chr, w/o hemor or perf"
"K263","Acute duodenal ulcer without hemorrhage or perforation"
"K285","Chronic or unspecified gastrojejunal ulcer with perforation"
"K254","Chronic or unspecified gastric ulcer with hemorrhage"
"K261","Acute duodenal ulcer with perforation"
"K266","Chronic or unsp duodenal ulcer w both hemorrhage and perf"
"K26","Duodenal ulcer"
"K267","Chronic duodenal ulcer without hemorrhage or perforation"
"K262","Acute duodenal ulcer with both hemorrhage and perforation"
"K281","Acute gastrojejunal ulcer with perforation"
"K27","Peptic ulcer, site unspecified"
"C4650","Kaposi's sarcoma of unspecified lung"
"C061","Malignant neoplasm of vestibule of mouth"
"C540","Malignant neoplasm of isthmus uteri"
"C9390","Monocytic leukemia, unsp, not having achieved remission"
"C84Z0","Other mature T/NK-cell lymphomas, unspecified site"
"C6952","Malignant neoplasm of left lacrimal gland and duct"
"C3432","Malignant neoplasm of lower lobe, left bronchus or lung"
"C6960","Malignant neoplasm of unspecified orbit"
"C460","Kaposi's sarcoma of skin"
"C431","Malignant melanoma of eyelid, including canthus"
"C9260","Acute myeloid leukemia w 11q23-abnormality not achieve remis"
"C8211","Follicular lymphoma grade II, nodes of head, face, and neck"
"C6921","Malignant neoplasm of right retina"
"C43","Malignant melanoma of skin"
"C7220","Malignant neoplasm of unspecified olfactory nerve"
"C84A9","Cutan T-cell lymphoma, unsp, extrnod and solid organ sites"
"C8377","Burkitt lymphoma, spleen"
"C6951","Malignant neoplasm of right lacrimal gland and duct"
"C8207","Follicular lymphoma grade I, spleen"
"C13","Malignant neoplasm of hypopharynx"
"C9220","Atyp chronic myeloid leuk, BCR/ABL-neg, not achieve remis"
"C835","Lymphoblastic (diffuse) lymphoma"
"C4322","Malignant melanoma of left ear and external auricular canal"
"C113","Malignant neoplasm of anterior wall of nasopharynx"
"C652","Malignant neoplasm of left renal pelvis"
"C8392","Non-follic (diffuse) lymphoma, unsp, intrathorac lymph nodes"
"C6932","Malignant neoplasm of left choroid"
"C8287","Other types of follicular lymphoma, spleen"
"C57","Malignant neoplasm of other and unsp female genital organs"
"C8201","Follicular lymphoma grade I, nodes of head, face, and neck"
"C479","Malig neoplasm of prph nerves and autonm nervous sys, unsp"
"C224","Other sarcomas of liver"
"C8414","Sezary disease, lymph nodes of axilla and upper limb"
"C491","Malig neoplm of conn and soft tiss of upper limb, inc shldr"
"C068","Malignant neoplasm of ovrlp sites of and unsp parts of mouth"
"C8395","Non-follic lymph, unsp, nodes of ing region and lower limb"
"C641","Malignant neoplasm of right kidney, except renal pelvis"
"C7242","Malignant neoplasm of left acoustic nerve"
"C50811","Malignant neoplasm of ovrlp sites of right female breast"
"C8238","Follicular lymphoma grade IIIa, lymph nodes mult site"
"C84A6","Cutaneous T-cell lymphoma, unsp, intrapelvic lymph nodes"
"C8516","Unspecified B-cell lymphoma, intrapelvic lymph nodes"
"C539","Malignant neoplasm of cervix uteri, unspecified"
"C9002","Multiple myeloma in relapse"
"C833","Diffuse large B-cell lymphoma"
"C463","Kaposi's sarcoma of lymph nodes"
"C8286","Other types of follicular lymphoma, intrapelvic lymph nodes"
"C53","Malignant neoplasm of cervix uteri"
"C8134","Lymphocy deplet class Hdgkn lymph, nodes of axla and upr lmb"
"C50622","Malignant neoplasm of axillary tail of left male breast"
"C8212","Follicular lymphoma grade II, intrathoracic lymph nodes"
"C488","Malig neoplasm of ovrlp sites of retroperiton and peritoneum"
"C259","Malignant neoplasm of pancreas, unspecified"
"C8581","Oth types of non-hodg lymph, nodes of head, face, and neck"
"C030","Malignant neoplasm of upper gum"
"C8339","Diffuse large B-cell lymphoma, extrnod and solid organ sites"
"C5001","Malignant neoplasm of nipple and areola, female"
"C9031","Solitary plasmacytoma in remission"
"C8471","Anaplstc lg cell lymph, ALK-neg, nodes of head, face, and nk"
"C718","Malignant neoplasm of overlapping sites of brain"
"C500","Malignant neoplasm of nipple and areola"
"C701","Malignant neoplasm of spinal meninges"
"C579","Malignant neoplasm of female genital organ, unspecified"
"C03","Malignant neoplasm of gum"
"C312","Malignant neoplasm of frontal sinus"
"C50912","Malignant neoplasm of unspecified site of left female breast"
"C55","Malignant neoplasm of uterus, part unspecified"
"C8399","Non-follic lymphoma, unsp, extrnod and solid organ sites"
"C81","Hodgkin lymphoma"
"C169","Malignant neoplasm of stomach, unspecified"
"C8202","Follicular lymphoma grade I, intrathoracic lymph nodes"
"C50229","Malig neoplasm of upper-inner quadrant of unsp male breast"
"C8466","Anaplastic large cell lymphoma, ALK-pos, intrapelv nodes"
"C8370","Burkitt lymphoma, unspecified site"
"C6940","Malignant neoplasm of unspecified ciliary body"
"C8316","Mantle cell lymphoma, intrapelvic lymph nodes"
"C8235","Foliclar lymph grade IIIa, nodes of ing rgn and lower limb"
"C839","Non-follicular (diffuse) lymphoma, unspecified"
"C691","Malignant neoplasm of cornea"
"C8445","Prph T-cell lymph, not class, nodes of ing rgn and low limb"
"C913","Prolymphocytic leukemia of B-cell type"
"C84","Mature T/NK-cell lymphomas"
"C5081","Malignant neoplasm of overlapping sites of breast, female"
"C608","Malignant neoplasm of overlapping sites of penis"
"C19","Malignant neoplasm of rectosigmoid junction"
"C9032","Solitary plasmacytoma in relapse"
"C328","Malignant neoplasm of overlapping sites of larynx"
"C7232","Malignant neoplasm of left optic nerve"
"C8306","Small cell B-cell lymphoma, intrapelvic lymph nodes"
"C101","Malignant neoplasm of anterior surface of epiglottis"
"C858","Other specified types of non-Hodgkin lymphoma"
"C8149","Lymp-rich class Hodgkin lymph, extrnod and solid organ sites"
"C24","Malignant neoplasm of other and unsp parts of biliary tract"
"C54","Malignant neoplasm of corpus uteri"
"C50329","Malig neoplasm of lower-inner quadrant of unsp male breast"
"C694","Malignant neoplasm of ciliary body"
"C21","Malignant neoplasm of anus and anal canal"
"C749","Malignant neoplasm of unspecified part of adrenal gland"
"C841","Sezary disease"
"C8148","Lymp-rich classical Hodgkin lymphoma, lymph nodes mult site"
"C8380","Other non-follicular lymphoma, unspecified site"
"C9131","Prolymphocytic leukemia of B-cell type, in remission"
"C8204","Follicular lymphoma grade I, nodes of axilla and upper limb"
"C9250","Acute myelomonocytic leukemia, not having achieved remission"
"C916","Prolymphocytic leukemia of T-cell type"
"C50611","Malignant neoplasm of axillary tail of right female breast"
"C95","Leukemia of unspecified cell type"
"C091","Malig neoplasm of tonsillar pillar (anterior) (posterior)"
"C915","Adult T-cell lymphoma/leukemia (HTLV-1-associated)"
"C504","Malignant neoplasm of upper-outer quadrant of breast"
"C923","Myeloid sarcoma"
"C02","Malignant neoplasm of other and unspecified parts of tongue"
"C70","Malignant neoplasm of meninges"
"C56","Malignant neoplasm of ovary"
"C8582","Oth types of non-Hodgkin lymphoma, intrathoracic lymph nodes"
"C153","Malignant neoplasm of upper third of esophagus"
"C8398","Non-follic (diffuse) lymphoma, unsp, lymph nodes mult site"
"C921","Chronic myeloid leukemia, BCR/ABL-positive"
"C8174","Oth class Hodgkin lymphoma, nodes of axilla and upper limb"
"C9292","Myeloid leukemia, unspecified in relapse"
"C8391","Non-follic lymphoma, unsp, nodes of head, face, and neck"
"C849","Mature T/NK-cell lymphomas, unspecified"
"C9232","Myeloid sarcoma, in relapse"
"C323","Malignant neoplasm of laryngeal cartilage"
"C8515","Unsp B-cell lymphoma, nodes of ing region and lower limb"
"C4370","Malignant melanoma of unspecified lower limb, including hip"
"C50821","Malignant neoplasm of overlapping sites of right male breast"
"C9432","Mast cell leukemia, in relapse"
"C8465","Anaplstc lg cell lymph, ALK-pos, nodes of ing rgn & low lmb"
"C50511","Malig neoplm of lower-outer quadrant of right female breast"
"C5052","Malignant neoplasm of lower-outer quadrant of breast, male"
"C349","Malignant neoplasm of unspecified part of bronchus or lung"
"C8234","Foliclar lymphoma grade IIIa, nodes of axilla and upper limb"
"C50512","Malig neoplasm of lower-outer quadrant of left female breast"
"C6200","Malignant neoplasm of unspecified undescended testis"
"C171","Malignant neoplasm of jejunum"
"C6920","Malignant neoplasm of unspecified retina"
"C8173","Oth classical Hodgkin lymphoma, intra-abdominal lymph nodes"
"C8372","Burkitt lymphoma, intrathoracic lymph nodes"
"C84Z5","Oth mature T/NK-cell lymph, nodes of ing rgn and lower limb"
"C4912","Malig neoplm of conn and soft tiss of l upr limb, inc shldr"
"C642","Malignant neoplasm of left kidney, except renal pelvis"
"C185","Malignant neoplasm of splenic flexure"
"C9431","Mast cell leukemia, in remission"
"C8196","Hodgkin lymphoma, unspecified, intrapelvic lymph nodes"
"C4351","Malignant melanoma of anal skin"
"C50022","Malignant neoplasm of nipple and areola, left male breast"
"C8443","Peripheral T-cell lymphoma, not classified, intra-abd nodes"
"C51","Malignant neoplasm of vulva"
"C9142","Hairy cell leukemia, in relapse"
"C8447","Peripheral T-cell lymphoma, not classified, spleen"
"C8250","Diffuse follicle center lymphoma, unspecified site"
"C8403","Mycosis fungoides, intra-abdominal lymph nodes"
"C8210","Follicular lymphoma grade II, unspecified site"
"C84Z6","Other mature T/NK-cell lymphomas, intrapelvic lymph nodes"
"C951","Chronic leukemia of unspecified cell type"
"C148","Malig neoplm of ovrlp sites of lip, oral cavity and pharynx"
"C5051","Malignant neoplasm of lower-outer quadrant of breast, female"
"C320","Malignant neoplasm of glottis"
"C4911","Malig neoplm of conn and soft tiss of r upr limb, inc shldr"
"C8112","Nodular sclerosis class Hodgkin lymphoma, intrathorac nodes"
"C8319","Mantle cell lymphoma, extranodal and solid organ sites"
"C8417","Sezary disease, spleen"
"C3491","Malignant neoplasm of unsp part of right bronchus or lung"
"C8330","Diffuse large B-cell lymphoma, unspecified site"
"C17","Malignant neoplasm of small intestine"
"C4012","Malignant neoplasm of short bones of left upper limb"
"C9442","Acute panmyelosis with myelofibrosis, in relapse"
"C50012","Malignant neoplasm of nipple and areola, left female breast"
"C50919","Malignant neoplasm of unsp site of unspecified female breast"
"C75","Malignant neoplasm of endo glands and related structures"
"C8337","Diffuse large B-cell lymphoma, spleen"
"C3430","Malignant neoplasm of lower lobe, unsp bronchus or lung"
"C6931","Malignant neoplasm of right choroid"
"C400","Malignant neoplasm of scapula and long bones of upper limb"
"C8307","Small cell B-cell lymphoma, spleen"
"C8244","Foliclar lymphoma grade IIIb, nodes of axilla and upper limb"
"C541","Malignant neoplasm of endometrium"
"C5091","Malignant neoplasm of breast of unspecified site, female"
"C851","Unspecified B-cell lymphoma"
"C8519","Unsp B-cell lymphoma, extranodal and solid organ sites"
"C8120","Mixed cellularity classical Hodgkin lymphoma, unsp site"
"C8133","Lymphocy depleted class Hodgkin lymphoma, intra-abd nodes"
"C765","Malignant neoplasm of lower limb"
"C408","Malig neoplasm of ovrlp sites of bone/artic cartl of limb"
"C6902","Malignant neoplasm of left conjunctiva"
"C9210","Chronic myeloid leuk, BCR/ABL-positive, not achieve remis"
"C720","Malignant neoplasm of spinal cord"
"C92A0","Acute myeloid leuk w multilin dysplasia, not achieve remis"
"C173","Meckel's diverticulum, malignant"
"C227","Other specified carcinomas of liver"
"C188","Malignant neoplasm of overlapping sites of colon"
"C8258","Diffuse follicle center lymphoma, lymph nodes mult site"
"C8408","Mycosis fungoides, lymph nodes of multiple sites"
"C8477","Anaplastic large cell lymphoma, ALK-negative, spleen"
"C8479","Anaplstc lg cell lymph, ALK-neg, extrnod and solid org sites"
"C8297","Follicular lymphoma, unspecified, spleen"
"C8142","Lymp-rich classical Hodgkin lymphoma, intrathorac nodes"
"C4712","Malig neoplm of prph nerves of left upper limb, inc shoulder"
"C7402","Malignant neoplasm of cortex of left adrenal gland"
"C8294","Follicular lymphoma, unsp, nodes of axilla and upper limb"
"C50021","Malignant neoplasm of nipple and areola, right male breast"
"C34","Malignant neoplasm of bronchus and lung"
"C50421","Malig neoplasm of upper-outer quadrant of right male breast"
"C6312","Malignant neoplasm of left spermatic cord"
"C9192","Lymphoid leukemia, unspecified, in relapse"
"C7222","Malignant neoplasm of left olfactory nerve"
"C8237","Follicular lymphoma grade IIIa, spleen"
"C651","Malignant neoplasm of right renal pelvis"
"C8213","Follicular lymphoma grade II, intra-abdominal lymph nodes"
"C23","Malignant neoplasm of gallbladder"
"C069","Malignant neoplasm of mouth, unspecified"
"C50521","Malig neoplasm of lower-outer quadrant of right male breast"
"C847","Anaplastic large cell lymphoma, ALK-negative"
"C717","Malignant neoplasm of brain stem"
"C8394","Non-follic lymphoma, unsp, nodes of axilla and upper limb"
"C499","Malignant neoplasm of connective and soft tissue, unsp"
"C7411","Malignant neoplasm of medulla of right adrenal gland"
"C432","Malignant melanoma of ear and external auricular canal"
"C9030","Solitary plasmacytoma not having achieved remission"
"C950","Acute leukemia of unspecified cell type"
"C321","Malignant neoplasm of supraglottis"
"C341","Malignant neoplasm of upper lobe, bronchus or lung"
"C8104","Nodlr lymphocy predom Hdgkn lymph, nodes of axla and upr lmb"
"C8390","Non-follicular (diffuse) lymphoma, unsp, unspecified site"
"C8355","Lymphoblastic lymphoma, nodes of ing region and lower limb"
"C104","Malignant neoplasm of branchial cleft"
"C8410","Sezary disease, unspecified site"
"C102","Malignant neoplasm of lateral wall of oropharynx"
"C8130","Lymphocyte depleted classical Hodgkin lymphoma, unsp site"
"C670","Malignant neoplasm of trigone of bladder"
"C9252","Acute myelomonocytic leukemia, in relapse"
"C8381","Oth non-follic lymphoma, lymph nodes of head, face, and neck"
"C940","Acute erythroid leukemia"
"C9400","Acute erythroid leukemia, not having achieved remission"
"C50211","Malig neoplm of upper-inner quadrant of right female breast"
"C4339","Malignant melanoma of other parts of face"
"C699","Malignant neoplasm of unspecified site of eye"
"C050","Malignant neoplasm of hard palate"
"C3401","Malignant neoplasm of right main bronchus"
"C8214","Follicular lymphoma grade II, nodes of axilla and upper limb"
"C50121","Malignant neoplasm of central portion of right male breast"
"C837","Burkitt lymphoma"
"C9402","Acute erythroid leukemia, in relapse"
"C4372","Malignant melanoma of left lower limb, including hip"
"C692","Malignant neoplasm of retina"
"C8284","Oth types of foliclar lymph, nodes of axilla and upper limb"
"C8223","Follicular lymphoma grade III, unsp, intra-abd lymph nodes"
"C059","Malignant neoplasm of palate, unspecified"
"C681","Malignant neoplasm of paraurethral glands"
"C9022","Extramedullary plasmacytoma in relapse"
"C8218","Follicular lymphoma grade II, lymph nodes of multiple sites"
"C8525","Mediastnl lg B-cell lymph, nodes of ing rgn and lower limb"
"C846","Anaplastic large cell lymphoma, ALK-positive"
"C696","Malignant neoplasm of orbit"
"C50921","Malignant neoplasm of unspecified site of right male breast"
"C92","Myeloid leukemia"
"C6980","Malignant neoplasm of ovrlp sites of unsp eye and adnexa"
"C8175","Oth class Hodgkin lymph, nodes of ing region and lower limb"
"C8527","Mediastinal (thymic) large B-cell lymphoma, spleen"
"C9251","Acute myelomonocytic leukemia, in remission"
"C9221","Atypical chronic myeloid leukemia, BCR/ABL-neg, in remission"
"C472","Malignant neoplasm of prph nerves of lower limb, inc hip"
"C716","Malignant neoplasm of cerebellum"
"C501","Malignant neoplasm of central portion of breast"
"C8383","Other non-follicular lymphoma, intra-abdominal lymph nodes"
"C311","Malignant neoplasm of ethmoidal sinus"
"C723","Malignant neoplasm of optic nerve"
"C946","Myelodysplastic disease, not classified"
"C8300","Small cell B-cell lymphoma, unspecified site"
"C8265","Cutan folicl cntr lymph, nodes of ing region and lower limb"
"C8240","Follicular lymphoma grade IIIb, unspecified site"
"C481","Malignant neoplasm of specified parts of peritoneum"
"C93Z","Other monocytic leukemia"
"C8354","Lymphoblastic lymphoma, nodes of axilla and upper limb"
"C469","Kaposi's sarcoma, unspecified"
"C4011","Malignant neoplasm of short bones of right upper limb"
"C7491","Malignant neoplasm of unsp part of right adrenal gland"
"C8197","Hodgkin lymphoma, unspecified, spleen"
"C8131","Lymphocy deplet class Hdgkn lymph, nodes of head, face, & nk"
"C228","Malignant neoplasm of liver, primary, unspecified as to type"
"C96","Oth & unsp malig neoplm of lymphoid, hematpoetc and rel tiss"
"C8178","Oth classical Hodgkin lymphoma, lymph nodes mult site"
"C6211","Malignant neoplasm of descended right testis"
"C8386","Other non-follicular lymphoma, intrapelvic lymph nodes"
"C8598","Non-Hodgkin lymphoma, unsp, lymph nodes of multiple sites"
"C403","Malignant neoplasm of short bones of lower limb"
"C319","Malignant neoplasm of accessory sinus, unspecified"
"C8580","Oth types of non-Hodgkin lymphoma, unspecified site"
"C9261","Acute myeloid leukemia with 11q23-abnormality in remission"
"C9501","Acute leukemia of unspecified cell type, in remission"
"C6991","Malignant neoplasm of unspecified site of right eye"
"C8245","Foliclar lymph grade IIIb, nodes of ing rgn and lower limb"
"C8513","Unspecified B-cell lymphoma, intra-abdominal lymph nodes"
"C91A","Mature B-cell leukemia Burkitt-type"
"C8123","Mixed cellular classical Hodgkin lymphoma, intra-abd nodes"
"C090","Malignant neoplasm of tonsillar fossa"
"C632","Malignant neoplasm of scrotum"
"C002","Malignant neoplasm of external lip, unspecified"
"C542","Malignant neoplasm of myometrium"
"C8254","Diffuse folicl center lymph, nodes of axilla and upper limb"
"C48","Malignant neoplasm of retroperitoneum and peritoneum"
"C5042","Malignant neoplasm of upper-outer quadrant of breast, male"
"C8510","Unspecified B-cell lymphoma, unspecified site"
"C508","Malignant neoplasm of overlapping sites of breast"
"C9510","Chronic leukemia of unsp cell type not achieve remission"
"C50119","Malignant neoplasm of central portion of unsp female breast"
"C3492","Malignant neoplasm of unsp part of left bronchus or lung"
"C578","Malignant neoplasm of ovrlp sites of female genital organs"
"C5041","Malignant neoplasm of upper-outer quadrant of breast, female"
"C8350","Lymphoblastic (diffuse) lymphoma, unspecified site"
"C6310","Malignant neoplasm of unspecified spermatic cord"
"C8116","Nodular sclerosis class Hodgkin lymphoma, intrapelv nodes"
"C051","Malignant neoplasm of soft palate"
"C8209","Follicular lymphoma grade I, extrnod and solid organ sites"
"C498","Malignant neoplasm of ovrlp sites of conn and soft tissue"
"C8295","Foliclar lymphoma, unsp, nodes of ing region and lower limb"
"C313","Malignant neoplasm of sphenoid sinus"
"C729","Malignant neoplasm of central nervous system, unspecified"
"C8493","Mature T/NK-cell lymphomas, unsp, intra-abd lymph nodes"
"C506","Malignant neoplasm of axillary tail of breast"
"C84Z3","Oth mature T/NK-cell lymphomas, intra-abdominal lymph nodes"
"C715","Malignant neoplasm of cerebral ventricle"
"C09","Malignant neoplasm of tonsil"
"C8478","Anaplastic large cell lymphoma, ALK-neg, nodes mult site"
"C50412","Malig neoplasm of upper-outer quadrant of left female breast"
"C25","Malignant neoplasm of pancreas"
"C003","Malignant neoplasm of upper lip, inner aspect"
"C029","Malignant neoplasm of tongue, unspecified"
"C7401","Malignant neoplasm of cortex of right adrenal gland"
"C8357","Lymphoblastic (diffuse) lymphoma, spleen"
"C8358","Lymphoblastic (diffuse) lymphoma, lymph nodes mult site"
"C8518","Unspecified B-cell lymphoma, lymph nodes of multiple sites"
"C8470","Anaplastic large cell lymphoma, ALK-negative, unsp site"
"C8103","Nodular lymphocyte predom Hodgkin lymphoma, intra-abd nodes"
"C111","Malignant neoplasm of posterior wall of nasopharynx"
"C8521","Mediastnl large B-cell lymph, nodes of head, face, and neck"
"C340","Malignant neoplasm of main bronchus"
"C8260","Cutaneous follicle center lymphoma, unspecified site"
"C8512","Unspecified B-cell lymphoma, intrathoracic lymph nodes"
"C8463","Anaplastic large cell lymphoma, ALK-pos, intra-abd nodes"
"C8490","Mature T/NK-cell lymphomas, unspecified, unspecified site"
"C5082","Malignant neoplasm of overlapping sites of breast, male"
"C6212","Malignant neoplasm of descended left testis"
"C4321","Malignant melanoma of right ear and external auricular canal"
"C710","Malignant neoplasm of cerebrum, except lobes and ventricles"
"C172","Malignant neoplasm of ileum"
"C4921","Malig neoplm of conn and soft tiss of r low limb, inc hip"
"C8589","Oth types of non-hodg lymph, extrnod and solid organ sites"
"C7640","Malignant neoplasm of unspecified upper limb"
"C8303","Small cell B-cell lymphoma, intra-abdominal lymph nodes"
"C8514","Unsp B-cell lymphoma, lymph nodes of axilla and upper limb"
"C9230","Myeloid sarcoma, not having achieved remission"
"C06","Malignant neoplasm of other and unspecified parts of mouth"
"C750","Malignant neoplasm of parathyroid gland"
"C022","Malignant neoplasm of ventral surface of tongue"
"C8190","Hodgkin lymphoma, unspecified, unspecified site"
"C492","Malig neoplm of conn and soft tissue of lower limb, inc hip"
"C009","Malignant neoplasm of lip, unspecified"
"C73","Malignant neoplasm of thyroid gland"
"C96A","Histiocytic sarcoma"
"C8221","Foliclar lymph grade III, unsp, nodes of head, face, and nk"
"C50922","Malignant neoplasm of unspecified site of left male breast"
"C74","Malignant neoplasm of adrenal gland"
"C006","Malignant neoplasm of commissure of lip, unspecified"
"C40","Malignant neoplasm of bone and articular cartilage of limbs"
"C8384","Oth non-follic lymphoma, nodes of axilla and upper limb"
"C5092","Malignant neoplasm of breast of unspecified site, male"
"C4311","Malignant melanoma of right eyelid, including canthus"
"C92A2","Acute myeloid leukemia w multilineage dysplasia, in relapse"
"C465","Kaposi's sarcoma of lung"
"C8100","Nodular lymphocyte predominant Hodgkin lymphoma, unsp site"
"C8137","Lymphocyte depleted classical Hodgkin lymphoma, spleen"
"C84Z2","Other mature T/NK-cell lymphomas, intrathoracic lymph nodes"
"C8288","Oth types of follicular lymphoma, lymph nodes mult site"
"C8331","Diffuse large B-cell lymphoma, nodes of head, face, and neck"
"C84A","Cutaneous T-cell lymphoma, unspecified"
"C722","Malignant neoplasm of olfactory nerve"
"C8170","Other classical Hodgkin lymphoma, unspecified site"
"C8375","Burkitt lymphoma, nodes of inguinal region and lower limb"
"C8352","Lymphoblastic (diffuse) lymphoma, intrathoracic lymph nodes"
"C7259","Malignant neoplasm of other cranial nerves"
"C8473","Anaplastic large cell lymphoma, ALK-neg, intra-abd nodes"
"C50422","Malig neoplasm of upper-outer quadrant of left male breast"
"C402","Malignant neoplasm of long bones of lower limb"
"C8468","Anaplastic large cell lymphoma, ALK-pos, nodes mult site"
"C8147","Lymphocyte-rich classical Hodgkin lymphoma, spleen"
"C112","Malignant neoplasm of lateral wall of nasopharynx"
"C411","Malignant neoplasm of mandible"
